Académie Anne de Guigné;74370;Anne de Guigné
CHAM Vocale de l'Institution St-Alyre;63000;CHAM Institution
Choeur d’enfants Capriccio;58000;Choeur Capriccio
CMA de Paris 18 Gustave Charpentier;75018; CMA G. Charpentier
CRC de Givors ;69700; CRC Givors
CRC de Wasquehal;59290; CRC Wasquehal
CRD Bourg-la-Reine/Sceaux /CHAM vocale;92340; CRD BLR/SC
CRD d'Auxerre ;89000; CRD Auxerre
CRD de l’agglomération du Pays de Saint-Omer ;62500; CRD Saint-Omer
CRD Mâcon ;71000; CRD Mâcon
CRD du pays de Montbéliard;25200; CRD Montbéliard
CRD de Saint-Brieuc;22000; CRD Saint-Brieuc
CRI Haut-Jura Saint-Claude ;39200;CRI Saint-Claude
CRI Maurice André d’Alès Agglomération ;30100; CRI Maurice André
CRI Saint Flour Communauté ;15100; CRI Saint Flour
CRR de Caen ;14000; CRR Caen
Maîtrise de Toulouse;31000; Maîtrise Toulouse
CRR du Grand Nancy ;54000; CRR Grand Nancy
CRR Emmanuel Chabrier;63000; CRR E. Chabrier
CRR de Toulon-Provence-Méditerrannée;83000; CRR T-P-M
École maîtrisienne de la cathédrale Notre-Dame de Strasbourg;67000;Notre-Dame Strbrg
École publique élémentaire Jean Moulin;71110;Jean Moulin
EIMD des Marches du Velay/Rochebaron;43120;EIMD Rochebaron
Les Petits Chanteurs à la Croix de Bois;71400; Croix de Bois
Les Petits chanteurs d’Aix en Provence ;13100; Petits chanteurs Aix
Les Petits Chanteurs de Grenoble ;38000; Petits Chanteurs Grenoble
Les Petits Chanteurs de Lyon ;69005; Petits Chanteurs Lyon
Les Petits chanteurs de Saint-Étienne ;42000; Petits chanteurs Saint-Étienne
Les Petits Chanteurs de Saint-Marc;69005; Petits Chanteurs Saint-Marc
Maîtrise Chalonnaise Saint Charles ;71100; Maîtrise Saint Charles
Maîtrise de Bordeaux;33200; Maîtrise Bordeaux
Maîtrise de Bretagne;35000; Maîtrise Bretagne
Maîtrise de Caen;14000; Maîtrise Caen
Maîtrise de garçons de Colmar;68000; Maîtrise Colmar
Maîtrise de l’Opéra de Lyon;69005; Maîtrise Opéra Lyon
Maîtrise de l’Opéra national du Rhin – Petits Chanteurs de Strasbourg;67000; Petits Chanteurs Strbrg
Maîtrise de la Cathédrale d’Autun;71400; Cathédrale Autun
Maîtrise de la Cathédrale de Nantes;44000; Cathédrale Nantes
Maîtrise de la Cathédrale du Puy en Velay;43000; Cathédrale Puy en Velay
Maîtrise de la Cathédrale Saint-Étienne de Metz;57000; Cathédrale Metz
Maîtrise de la Loire;42600; Maîtrise Loire
Maîtrise de la Perverie;44300; Maîtrise Perverie
Maîtrise de Radio France;75016; Maîtrise Radio France
Maîtrise de Seine-Maritime;76190; Maîtrise Seine-Maritime
Maîtrise des Bouches du Rhône – Pôle d’Art vocal;13013; Maîtrise Bouches du Rhône
Maîtrise des Demoiselles de la Légion d'honneur;78100; Légion d'honneur
Maîtrise des Hauts de Seine;92100; Maîtrise HdS
Maîtrise des Pays de la Loire;49100; Maîtrise Pays de la Loire
Centre de Musique Baroque de Versailles;78000; Baroque Versailles
Maîtrise du CRC de Grasse;06130; CRC Grasse
Maîtrise Notre-Dame de Paris;75005; Notre-Dame
Maîtrise Saint-Etienne de Bourges;18000;Maîtrise Bourges
Maîtrise Saint-Évode de Rouen;76000; Maîtrise Rouen
Maîtrise Ste Philomène de Haguenau;67500; Maîtrise Haguenau
Manécanterie Saint Michel de Bolbec;76210; Manécanterie Bolbec
